date,dcoilwtico,wti_price
2024-10-01,70.41,70.41
2024-10-02,70.74,70.74
2024-10-03,74.33,74.33
2024-10-04,74.93,74.93
2024-10-07,77.76,77.76
2024-10-08,74.26,74.26
2024-10-09,73.85,73.85
2024-10-10,76.46,76.46
2024-10-11,76.11,76.11
2024-10-15,71.22,71.22
2024-10-16,70.97,70.97
2024-10-17,71.26,71.26
2024-10-18,69.78,69.78
2024-10-21,71.16,71.16
2024-10-22,72.84,72.84
2024-10-23,71.37,71.37
2024-10-24,70.58,70.58
2024-10-25,72.02,72.02
2024-10-28,67.65,67.65
2024-10-29,67.48,67.48
2024-10-30,68.91,68.91
2024-10-31,69.58,69.58
2024-11-01,69.81,69.81
2024-11-04,71.83,71.83
2024-11-05,72.26,72.26
2024-11-06,71.98,71.98
2024-11-07,72.69,72.69
2024-11-08,70.69,70.69
2024-11-12,68.43,68.43
2024-11-13,68.76,68.76
2024-11-14,68.99,68.99
2024-11-15,67.33,67.33
2024-11-18,69.46,69.46
